iter	Passed	Remaining
0	142	142800
1	144	72123
2	145	48519
3	147	36670
4	148	29564
5	149	24829
6	150	21415
7	151	18835
8	152	16818
9	153	15205
10	154	13873
11	154	12750
12	155	11805
13	156	11007
14	156	10302
15	157	9686
16	158	9145
17	158	8657
18	159	8219
19	159	7828
20	160	7476
21	160	7152
22	161	6856
23	162	6588
24	162	6345
25	163	6119
26	163	5906
27	164	5708
28	164	5523
29	165	5355
30	166	5199
31	166	5051
32	167	4919
33	168	4791
34	169	4669
35	170	4553
36	170	4444
37	171	4344
38	172	4243
39	172	4150
40	173	4061
41	174	3976
42	174	3893
43	175	3814
44	176	3740
45	176	3668
46	177	3599
47	178	3535
48	178	3471
49	179	3409
50	180	3352
51	180	3295
52	181	3244
53	182	3193
54	182	3144
55	183	3095
56	184	3048
57	185	3006
58	185	2962
59	186	2919
60	187	2880
61	187	2840
62	188	2801
63	189	2764
64	189	2727
65	190	2692
66	190	2659
67	191	2622
68	192	2593
69	192	2563
70	193	2532
71	194	2502
72	195	2476
73	195	2450
74	196	2423
75	197	2398
76	198	2376
77	198	2351
78	199	2329
79	200	2306
80	201	2285
81	202	2264
82	203	2244
83	203	2223
84	204	2199
85	205	2181
86	205	2158
87	206	2139
88	207	2119
89	207	2100
90	208	2082
91	209	2066
92	210	2049
93	211	2034
94	211	2016
95	212	2000
96	213	1984
97	213	1969
98	214	1954
99	215	1940
100	216	1925
101	216	1907
102	217	1895
103	218	1881
104	219	1867
105	219	1854
106	220	1842
107	221	1828
108	222	1817
109	223	1806
110	224	1794
111	224	1782
112	225	1771
113	226	1761
114	227	1749
115	228	1737
116	228	1727
117	229	1716
118	230	1704
119	231	1694
120	231	1683
121	232	1673
122	232	1659
123	233	1650
124	234	1642
125	235	1632
126	236	1623
127	236	1611
128	237	1602
129	238	1594
130	239	1586
131	239	1577
132	240	1568
133	241	1560
134	242	1552
135	243	1544
136	243	1535
137	244	1526
138	245	1519
139	246	1511
140	246	1504
141	247	1496
142	248	1489
143	249	1482
144	250	1476
145	251	1469
146	252	1462
147	252	1456
148	253	1450
149	254	1443
150	255	1437
151	256	1430
152	257	1424
153	258	1417
154	258	1411
155	259	1404
156	260	1398
157	261	1392
158	262	1386
159	262	1379
160	263	1373
161	264	1366
162	265	1361
163	265	1355
164	266	1350
165	267	1345
166	268	1339
167	269	1333
168	270	1328
169	270	1322
170	278	1352
171	279	1346
172	280	1340
173	281	1335
174	282	1330
175	283	1325
176	283	1320
177	284	1315
178	285	1309
179	286	1304
180	286	1298
181	287	1293
182	288	1288
183	289	1283
184	290	1279
185	291	1274
186	292	1269
187	292	1264
188	293	1260
189	294	1256
190	295	1251
191	296	1247
192	297	1243
193	298	1239
194	299	1235
195	300	1231
196	301	1227
197	302	1223
198	303	1220
199	304	1216
200	305	1212
201	305	1208
202	306	1203
203	307	1200
204	308	1195
205	309	1191
206	310	1188
207	311	1184
208	312	1180
209	313	1177
210	314	1174
211	314	1170
212	315	1167
213	316	1163
214	317	1159
215	318	1156
216	319	1152
217	320	1148
218	321	1145
219	321	1141
220	322	1137
221	323	1134
222	324	1130
223	325	1127
224	326	1123
225	327	1120
226	328	1117
227	328	1113
228	329	1110
229	330	1107
230	331	1104
231	332	1101
232	333	1097
233	334	1094
234	335	1091
235	336	1088
236	337	1085
237	338	1082
238	339	1079
239	339	1076
240	340	1072
241	341	1069
242	342	1066
243	343	1062
244	343	1059
245	344	1056
246	345	1052
247	346	1049
248	346	1046
249	347	1043
250	348	1040
